Station,Lines,Transfers,Location,Opened,Structure
O'Hare,Blue,O'Hare: ATS Airport Transit System,O'Hare,"September 3, 1984[12]",Underground
Rosemont,Blue,—,Rosemont,"February 27, 1983[13]",Expressway median
Cumberland,Blue,—,O'Hare,"February 27, 1983[13]",Expressway median
Harlem,Blue,—,Norwood Park,"February 27, 1983[13]",Expressway median
Jefferson Park,Blue,Metra: UP-NW,Jefferson Park,"February 1, 1970[14]",Expressway median
Montrose,Blue,Metra: MD-N (at Mayfair),Irving Park,"February 1, 1970[14]",Expressway median
Irving Park,Blue,Metra: UP-NW (at Irving Park),Irving Park,"February 1, 1970[14]",Expressway median
Addison,Blue,—,Avondale / Irving Park,"February 1, 1970[14]",Expressway median
Belmont,Blue,—,Avondale,"February 1, 1970[14]",Underground
Logan Square,Blue,—,Logan Square,"May 25, 1895[15]",Underground
California,Blue,—,Logan Square,"May 25, 1895",Elevated
Western,Blue,—,Logan Square,"May 25, 1895",Elevated
Damen,Blue,—,Wicker Park,"May 6, 1895[16]",Elevated
Division,Blue,—,Wicker Park / Noble Square,"February 25, 1951[17][18]",Underground
Chicago,Blue,—,West Town,"February 25, 1951[17][18]",Underground
Grand,Blue,—,West Town,"February 25, 1951[17][18]",Underground
Clark/Lake[b]  Ⓣ,Blue,Brown Green Orange Pink Purple,The Loop,"February 25, 1951[17][18]",Underground
Washington Ⓣ,Blue,Red (at Lake),The Loop,"February 25, 1951[17][18]",Underground
Monroe,Blue,—,The Loop,"February 25, 1951[17][18]",Underground
Jackson  Ⓣ,Blue,Red (at Jackson) Brown Orange  Pink Purple (at Library),The Loop,"February 25, 1951[17][18]",Underground
LaSalle,Blue,Metra: RI (at LaSalle Street),The Loop,"February 25, 1951[17][18]",Underground
Clinton,Blue,Metra: MD-N MD-W NCS BNSF HC SWS (at Union Station),Near West Side,"June 22, 1958[19][20]",Underground
UIC–Halsted,Blue,—,Greektown,"June 22, 1958[19][20]",Expressway median
Racine,Blue,—,Near West Side,"June 22, 1958[19][20]",Expressway median
Illinois Medical District,Blue,—,Near West Side,"June 22, 1958[19][20]",Expressway median
Western,Blue,—,Near West Side,"June 22, 1958[19][20]",Expressway median
Kedzie–Homan,Blue,—,East Garfield Park,"June 22, 1958[19][20]",Expressway median
Pulaski,Blue,—,West Garfield Park,"June 22, 1958[19][20]",Expressway median
Cicero,Blue,—,Austin,"June 22, 1958[19][20]",Expressway median
Austin,Blue,—,Oak Park,"March 20, 1960[21][22]",Expressway median
Oak Park,Blue,—,Oak Park,"March 20, 1960[21][22]",Expressway median
Harlem,Blue,—,Forest Park,"March 20, 1960[21][22]",Expressway median
Forest Park,Blue,—,Forest Park,"March 11, 1905[23] [c]",Elevated
Kimball,Brown,—,Albany Park,"December 14, 1907[24]",At-grade
Kedzie,Brown,—,Albany Park,"December 14, 1907[24]",At-grade
Francisco,Brown,—,Albany Park,"December 14, 1907",At-grade
Rockwell,Brown,—,Lincoln Square,"December 14, 1907",At-grade
Western,Brown,—,Lincoln Square,"May 18, 1907[25]",Elevated
Damen,Brown,Metra: UP-N (at Ravenswood),Ravenswood,"May 18, 1907[25]",Elevated
Montrose,Brown,—,Ravenswood,"May 18, 1907[25]",Elevated
Irving Park,Brown,—,North Center,"May 18, 1907[25]",Elevated
Addison,Brown,—,North Center,"May 18, 1907[25]",Elevated
Paulina,Brown,—,Roscoe Village,"May 18, 1907[25]",Elevated
Southport,Brown,—,Lake View,"May 18, 1907[25]",Elevated
Belmont  Ⓣ,Brown Purple Red,—,Lake View,"May 31, 1900[5]",Elevated
Wellington,Brown Purple,—,Lake View,"May 31, 1900",Elevated
Diversey,Brown Purple,—,Lincoln Park,"June 9, 1900[26]",Elevated
Fullerton  Ⓣ,Brown Purple Red,—,Lincoln Park,"May 31, 1900[5]",Elevated
Armitage,Brown Purple,—,Lincoln Park,"June 9, 1900[26]",Elevated
Sedgwick,Brown Purple,—,Old Town,"May 31, 1900[5]",Elevated
Chicago,Brown Purple,—,Near North Side,"May 31, 1900[5]",Elevated
Merchandise Mart  Ⓣ,Brown Purple,—,Near North Side,"December 5, 1930[27]",Elevated
Washington/Wells  Ⓣ,Brown Orange Pink Purple,Metra: UP-N UP-W UP-NW (at Ogilvie),The Loop,"July 17, 1995[28]",Elevated
Quincy,Brown Orange Pink Purple,Metra: MD-N MD-W NCS BNSF HC SWS (at Union Station),The Loop,"October 3, 1897[29]",Elevated
LaSalle/Van Buren,Brown Orange Pink Purple,Metra: RI (at LaSalle Street),The Loop,"October 3, 1897[29]",Elevated
Harold Washington Library – State/Van Buren  Ⓣ,Brown Orange Pink Purple,Blue (at Jackson) Red (at Jackson) Metra: ME (at Van Buren Street)NICTD:  (at Van Buren Street),The Loop,"June 22, 1997[30]",Elevated
Adams/Wabash Ⓣ,Brown Green Orange Pink Purple,Metra: ME (at Van Buren Street)NICTD:  (at Van Buren Street),The Loop,"November 8, 1896[31]",Elevated
Washington/​Wabash,Brown Green Orange Pink Purple,Metra: ME (at Millennium Station)NICTD:  (at Millennium Station),The Loop,"August 31, 2017[32]",Elevated
State/Lake Ⓣ,Brown Green Orange Pink Purple,Red (at Lake),The Loop,"September 22, 1895[33][34]",Elevated
Clark/Lake[b]  Ⓣ,Brown Green Orange Pink Purple,Blue,The Loop,"September 22, 1895[33][34]",Elevated
Harlem/Lake,Green,Metra: UP-W (at Oak Park),Oak Park / Forest Park,"October 28, 1962[35][36]",Elevated
Oak Park,Green,—,Oak Park,"January 25, 1901",Elevated
Ridgeland,Green,—,Oak Park,"January 25, 1901",Elevated
Austin,Green,—,Austin,"April 15, 1899[37]",Elevated
Central,Green,—,Austin,"April 15, 1899[37]",Elevated
Laramie,Green,—,Austin,"April 23, 1894[38]",Elevated
Cicero,Green,—,Austin,"March 3, 1894[39]",Elevated
Pulaski,Green,—,West Garfield Park,March 1894,Elevated
Conservatory–Central Park Drive,Green,—,East Garfield Park,"June 30, 2001[40]",Elevated
Kedzie,Green,—,East Garfield Park,"November 6, 1893[41][42]",Elevated
California,Green,—,East Garfield Park,"November 6, 1893[41]",Elevated
Ashland,Green Pink,—,Near West Side,"November 6, 1893[41][42]",Elevated
Morgan,Green Pink,—,Near West Side,"November 6, 1893[43]",Elevated
Clinton  Ⓣ,Green Pink,Metra: UP-N UP-W UP-NW (at Ogilvie),West Loop,"October 16, 1909[44]",Elevated
Roosevelt  Ⓣ,Green Orange,Red Metra: ME (at Museum Campus/11th Street)NICTD:  (at Museum Campus/11th Street),Near South Side,"June 6, 1892[3]",Elevated
Cermak–McCormick Place,Green,—,Near South Side,"June 6, 1892",Elevated
35th–Bronzeville–IIT,Green,Metra: RI (at Jones/Bronzeville),Bronzeville,"June 6, 1892[3]",Elevated
Indiana,Green,—,Grand Boulevard,"August 15, 1892[45]",Elevated
43rd,Green,—,Grand Boulevard,"August 15, 1892[45]",Elevated
47th,Green,—,Grand Boulevard,"August 15, 1892[45]",Elevated
51st,Green,—,Grand Boulevard / Washington Park,"August 28, 1892[46]",Elevated
Garfield  Ⓣ,Green,Ashland/63rd     Cottage Grove,Washington Park,"October 12, 1892[47][48]",Elevated
Halsted,Green,—,Englewood,"December 24, 1906[49]",Elevated
Ashland/63rd,Green,—,West Englewood,"May 6, 1969[50]",Elevated
King Drive,Green,—,Woodlawn,"May 1, 1893[51][52]",Elevated
Cottage Grove,Green,—,Woodlawn,"April 23, 1893[51]",Elevated
Midway,Orange,—,Garfield Ridge,"October 31, 1993[7]",At-grade
Pulaski,Orange,—,Archer Heights / West Elsdon,"October 31, 1993[7]",Elevated
Kedzie,Orange,—,Brighton Park,"October 31, 1993[53]",Elevated
Western,Orange,—,Brighton Park,"October 31, 1993[7]",Elevated
35th/Archer,Orange,—,McKinley Park,"October 31, 1993[7]",Elevated
Ashland,Orange,—,McKinley Park,"October 31, 1993[53]",Elevated
Halsted,Orange,—,Bridgeport,"October 31, 1993[7]",Elevated
54th/Cermak,Pink,—,Cicero,"August 1, 1912",At-grade
Cicero,Pink,—,Cicero,"December 16, 1907[54]",At-grade
Kostner,Pink,—,North Lawndale,"May 22, 1907",At-grade
Pulaski,Pink,—,North Lawndale,"June 16, 1902[55]",Elevated
Central Park,Pink,—,North Lawndale,"December 9, 1951[56]",Elevated
Kedzie,Pink,—,North Lawndale,"March 10, 1902[57]",Elevated
California,Pink,—,Little Village,"March 10, 1902[57]",Elevated
Western,Pink,—,Lower West Side,"September 7, 1896[15]",Elevated
Damen,Pink,—,Heart of Chicago,"September 7, 1896",Elevated
18th,Pink,—,Pilsen,"April 28, 1896[58]",Elevated
Polk,Pink,—,Illinois Medical District,"April 28, 1896[58]",Elevated
Linden,Purple,—,Wilmette,"April 2, 1912[59]",At-grade
Central,Purple,—,Evanston,"May 16, 1908[a] [60][61]",Elevated
Noyes,Purple,—,Evanston,"May 16, 1908[a] [60][61]",Elevated
Foster,Purple,—,Evanston,"January 6, 1909[62]",Elevated
Davis,Purple,Metra: UP-N (at Evanston Davis Street),Evanston,"May 16, 1908[a] [60][61]",Elevated
Dempster,Purple,—,Evanston,"May 16, 1908[a] [60][61]",Elevated
Main,Purple,Metra: UP-N (at Evanston Main Street),Evanston,"May 16, 1908[a] [60][61]",Elevated
South Boulevard,Purple,—,Evanston,"July 1, 1931[63]",Elevated
Howard  Ⓣ,Red Purple  Yellow,—,Rogers Park,"August 23, 1908[62]",Elevated
Jarvis,Red,—,Rogers Park,"May 16, 1908[a] [64]",Elevated
Morse,Red,—,Rogers Park,"May 16, 1908[a] [64]",Elevated
Loyola,Red,—,Rogers Park,"May 16, 1908[a] [64]",Elevated
Granville,Red,—,Edgewater,"May 16, 1908[a] [64]",Elevated
Thorndale,Red,—,Edgewater,"February 14, 1915[65]",Elevated
Bryn Mawr,Red,—,Edgewater,"May 16, 1908[a] [64]",Elevated
Berwyn,Red,—,Edgewater,1917,Elevated
Argyle,Red,—,Little Vietnam,"May 16, 1908[a] [64]",Elevated
Lawrence,Red,—,Uptown,"February 27, 1923[66]",Elevated
Wilson  Ⓣ,Red Purple,—,Uptown,"May 31, 1900[5]",Elevated
Sheridan,Red,—,Lake View,"May 31, 1900[5]",Elevated
Addison,Red,—,Wrigleyville,"June 6, 1900[26]",Elevated
North/Clybourn,Red,—,Near North Side,"October 17, 1943[67]",Underground
Clark/Division,Red,—,Near North Side,"October 17, 1943[67]",Underground
Chicago,Red,—,Near North Side,"October 17, 1943[67]",Underground
Grand,Red,—,River North / Streeterville,"October 17, 1943[67]",Underground
Lake  Ⓣ,Red,Brown Green Orange Pink Purple (at State/Lake) Blue (at Washington),The Loop,"October 17, 1943[67]",Underground
Monroe,Red,—,The Loop,"October 17, 1943[67]",Underground
Jackson  Ⓣ,Red,Blue (at Jackson) Brown  Orange Pink Purple (at Library),The Loop,"October 17, 1943[67]",Underground
Harrison,Red,—,South Loop,"October 17, 1943[67]",Underground
Roosevelt  Ⓣ,Red,Green Orange Metra: ME (at Museum Campus/11th Street)NICTD:  (at Museum Campus/11th Street),Near South Side,"October 17, 1943[67]",Underground
Cermak–Chinatown,Red,—,Chinatown,"September 28, 1969[68]",Elevated
Sox–35th,Red,Metra: RI (at Jones/Bronzeville),Armour Square,"September 28, 1969[68]",Expressway median
47th,Red,—,Fuller Park,"September 28, 1969[68]",Expressway median
Garfield,Red,—,Fuller Park,"September 28, 1969[68]",Expressway median
63rd,Red,—,Englewood,"September 28, 1969[68]",Expressway median
69th,Red,—,Greater Grand Crossing,"September 28, 1969[68]",Expressway median
79th,Red,—,Chatham,"September 28, 1969[68]",Expressway median
87th,Red,—,Chatham,"September 28, 1969[68]",Expressway median
95th/Dan Ryan,Red,—,Roseland,"September 28, 1969[68]",Expressway median
Dempster–Skokie,Yellow,—,Skokie,"March 28, 1925[69]",At-grade
Oakton–Skokie,Yellow,—,Skokie,"March 28, 1925[70]",At-grade
