Neighborhood,Community area
Albany Park,Albany Park
Altgeld Gardens,Riverdale
Andersonville,Edgewater
Archer Heights,Archer Heights
Armour Square,Armour Square
Ashburn,Ashburn
Ashburn Estates,Ashburn
Auburn Gresham,Auburn Gresham
Avalon Park,Avalon Park
Avondale,Avondale
Avondale Gardens,Irving Park
Back of the Yards,New City
Belmont Central,Belmont Cragin
Belmont Gardens,Hermosa
Belmont Heights,Dunning
Belmont Terrace,Dunning
Beverly,Beverly
Beverly View,Ashburn
Beverly Woods,Morgan Park
Big Oaks,Norwood Park
Boystown,Lake View
Bowmanville,Lincoln Square
Brainerd,Washington Heights
Brickyard,Belmont Cragin
Bridgeport,Bridgeport
Brighton Park,Brighton Park
Bronzeville,Douglas
Bucktown,Logan Square
Budlong Woods,Lincoln Square
Buena Park,Uptown
Burnside,Burnside
Cabrini–Green,Near North Side
Calumet Heights,Calumet Heights
Canaryville,New City
Central Station,Near South Side
Chatham,Chatham
Chicago Lawn,Chicago Lawn
Chinatown,Armour Square
Chrysler Village,Clearing
Clarendon Park,Uptown
Clearing East,Clearing
Clearing West,Clearing
Cottage Grove Heights,Pullman
Cragin,Belmont Cragin
Crestline,Ashburn
Dearborn Homes,Douglas
Dearborn Park,Near South Side
Douglas Park,North Lawndale
Dunning,Dunning
East Beverly,Beverly
East Chatham,Chatham
East Garfield Park,East Garfield Park
East Hyde Park,Hyde Park
East Pilsen,Lower West Side
East Side,East Side
East Village,West Town
Eden Green,Riverdale
Edgebrook,Forest Glen
Edgewater,Edgewater
Edgewater Beach,Edgewater
Edgewater Glen,Edgewater
Edison Park,Edison Park
Englewood,Englewood
Fernwood,Roseland
Fifth City,East Garfield Park
Ford City,West Lawn
Forest Glen,Forest Glen
Fuller Park,Fuller Park
Fulton River District,Near West Side
Gage Park,Gage Park
Galewood,Austin
The Gap,Douglas
Garfield Ridge,Garfield Ridge
Gladstone Park,Jefferson Park
Gold Coast,Near North Side
Golden Gate,Riverdale
Goose Island,Near North Side
Graceland West,Lake View
Grand Boulevard,Grand Boulevard
Grand Crossing,Greater Grand Crossing
Greater Grand Crossing,Greater Grand Crossing
Greektown,Near West Side
Gresham,Auburn Gresham
Groveland Park,Douglas
Hamilton Park,Englewood
Hanson Park,Belmont Cragin
Heart of Chicago,Lower West Side
Hegewisch,Hegewisch
Hermosa,Hermosa
Hollywood Park,North Park
Homan Square,North Lawndale
Humboldt Park,Humboldt Park
Hyde Park,Hyde Park
Illinois Medical District,Near West Side
Irving Park,Irving Park
Irving Woods,Dunning
The Island,Austin
Jackowo,Avondale
Jackson Park Highlands,South Shore
Jefferson Park,Jefferson Park
K-Town,North Lawndale
Kelvyn Park,Hermosa
Kennedy Park,Morgan Park
Kensington,Roseland
Kenwood,Kenwood
Kilbourn Park,Irving Park
Kosciuszko Park,Logan Square
Lake Meadows,Douglas
Lake View,Lake View
Lake View East,Lake View
Lakewood / Balmoral,Edgewater
LeClaire Courts,Garfield Ridge
Legends South (Robert Taylor Homes),Grand Boulevard
Lilydale,Roseland
Lincoln Park,Lincoln Park
Lincoln Square,Lincoln Square
Lithuanian Plaza,Chicago Lawn
Little Italy,Near West Side
Little Village,South Lawndale
Logan Square,Logan Square
Longwood Manor,Washington Heights
The Loop,The Loop
Lower West Side,Lower West Side
Loyola,Rogers Park
Magnificent Mile,Near North Side
Margate Park,Uptown
Marquette Park,Chicago Lawn
Marshall Square,South Lawndale
Marynook,Avalon Park
Mayfair,Albany Park
McKinley Park,McKinley Park
Merchant Park,Irving Park
Montclare,Montclare
Morgan Park,Morgan Park
Mount Greenwood,Mount Greenwood
Museum Campus,Near South Side
New Eastside,The Loop
Near North Side,Near North Side
Near West Side,Near West Side
New Chinatown,Uptown
New City,New City
Noble Square,West Town
North Austin,Austin
North Center,North Center
North Halsted,Lake View
North Kenwood,Kenwood
North Lawndale,North Lawndale
North Mayfair,Albany Park
North Park,North Park
Nortown,West Ridge
Norwood Park East,Norwood Park
Norwood Park West,Norwood Park
Oakland,Oakland
O'Hare,O'Hare
Old Edgebrook,Forest Glen
Old Irving Park,Irving Park
Old Norwood,Norwood Park
Old Town,Near North Side
Old Town Triangle,Lincoln Park
Oriole Park,Norwood Park
Palmer Square,Logan Square
Park Manor,Greater Grand Crossing
Park West,Lincoln Park
Parkview,Ashburn
Peterson Park,West Ridge
Pill Hill,Calumet Heights
Pilsen,Lower West Side
Polish Downtown,"West Town, Logan Square"
Polish Village,"Avondale, Irving Park"
Portage Park,Portage Park
Prairie Avenue Historic District,Near South Side
Prairie Shores,Douglas
Princeton Park,Roseland
Printer's Row,The Loop
Pulaski Park,West Town
Pullman,Pullman
Ranch Triangle,Lincoln Park
Ravenswood,Lincoln Square
Ravenswood Gardens,Lincoln Square
Ravenswood Manor,Albany Park
River North,Near North Side
River West,West Town
River's Edge,North Park
Riverdale,Riverdale
Rogers Park,Rogers Park
Roscoe Village,North Center
Rosehill,West Ridge
Roseland,Roseland
Rosemoor,Roseland
Saint Ben's,North Center
Sauganash,Forest Glen
Schorsch Forest View,O'Hare
Schorsch Village,Dunning
Scottsdale,Ashburn
Sheffield Neighbors,Lincoln Park
Sheridan Park,Uptown
Sheridan Station Corridor,Lakeview
Sleepy Hollow,Garfield Ridge
Smith Park,West Town
South Austin,Austin
South Chicago,South Chicago
South Commons,Douglas
South Deering,South Deering
South East Ravenswood,Lake View
South Edgebrook,Forest Glen
South Lawndale,South Lawndale
South Loop,The Loop
South Shore,South Shore
Stateway Gardens,Douglas
Stony Island Park,Avalon Park
Streeterville,Near North Side
Talley's Corner,Mount Greenwood
Tri-Taylor,Near West Side
Ukrainian Village,West Town
Union Ridge,Norwood Park
University Village,Near West Side
Uptown,Uptown
The Villa,Irving Park
Vittum Park,Garfield Ridge
Wacławowo,Avondale
Washington Heights,Washington Heights
Washington Park,Washington Park
Wentworth Gardens,Armour Square
West Beverly,Beverly
West Chatham,Chatham
West Chesterfield,"Chatham, Roseland"
West DePaul,Lincoln Park
West Elsdon,West Elsdon
West Englewood,West Englewood
West Garfield Park,West Garfield Park
West Humboldt Park,"Austin, Humboldt Park"
West Lakeview,Lake View
West Lawn,West Lawn
West Loop,Near West Side
West Morgan Park,Morgan Park
West Pullman,West Pullman
West Ridge,West Ridge
West Rogers Park,West Ridge
West Town,West Town
West Woodlawn,Woodlawn
Wicker Park,West Town
Wildwood,Forest Glen
Woodlawn,Woodlawn
Wrightwood,Ashburn
Wrightwood Neighbors,Lincoln Park
Wrigleyville,Lake View
